Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Card Payment,Current,2020-01-02 10:50:54,2020-01-04 01:08:27,Lignes D'Azur,-1.50,0.00,EUR,COMPLETED,177.68
Transfer,Current,2020-01-04 19:42:28,2020-01-04 19:42:28,Transfer from Fabien Martial Tissot,20.50,0.00,EUR,COMPLETED,198.18
Card Payment,Current,2020-01-19 16:19:23,2020-01-21 05:37:43,Lime,-1.60,0.00,EUR,COMPLETED,196.58
Card Payment,Current,2020-01-20 13:22:21,2020-01-22 03:20:57,Khloe Supermercados,-0.65,0.00,EUR,COMPLETED,195.93
Transfer,Current,2020-01-22 10:50:35,2020-01-22 10:50:35,Transfer to PAUL SAMUEL CLAVEL,-35.00,0.00,EUR,COMPLETED,160.93
Transfer,Current,2020-01-27 10:33:41,2020-01-27 15:54:19,International transfer to Louise Lee,-10.10,0.00,EUR,COMPLETED,150.83
Deposit,Current,2020-01-28 12:47:12,2020-01-28 12:47:12,Payment from M  FAUCOMPRET REMI,200.00,0.00,EUR,COMPLETED,350.83
Transfer,Current,2020-03-18 15:09:45,2020-03-18 15:09:45,Transfer from PAUL SAMUEL CLAVEL,45.10,0.00,EUR,COMPLETED,395.93
Card Payment,Current,2020-03-28 17:43:34,,Google Play,-24.99,0.00,EUR,REVERTED,
Card Payment,Current,2020-05-05 18:28:51,2020-05-06 18:21:04,Uber Eats,-9.05,0.00,EUR,COMPLETED,386.88
Transfer,Current,2020-05-08 12:09:23,2020-05-08 15:06:44,International transfer to Louise Lee,-11.43,0.00,EUR,COMPLETED,375.45
Card Payment,Current,2020-05-09 15:29:00,,Google,-1.00,0.00,EUR,REVERTED,
Card Payment,Current,2020-05-09 15:30:46,,Google,-1.00,0.00,EUR,REVERTED,
Card Payment,Current,2020-05-09 15:32:24,,Google,-1.00,0.00,EUR,REVERTED,
Card Payment,Current,2020-05-09 15:40:24,2020-05-10 13:21:46,Google Play,-2.19,0.00,EUR,COMPLETED,373.26
Card Payment,Current,2020-05-11 20:15:11,2020-05-13 16:02:13,Uber Eats,-13.45,0.00,EUR,COMPLETED,359.81
Card Refund,Current,2020-05-20 13:04:25,2020-05-20 21:05:52,Google,5.49,0.00,EUR,COMPLETED,365.30
Card Payment,Current,2020-05-19 20:29:25,2020-05-20 23:05:16,Google,-5.49,0.00,EUR,COMPLETED,359.81
Card Payment,Current,2020-05-19 19:12:08,2020-05-21 13:05:54,Uber Eats,-11.40,0.00,EUR,COMPLETED,348.41
